Ticket_ID,Title,Type,Epic_ID,Priority,Status,Assigned_Agent,Sprint,Dependencies,Notes
EPIC-303,Offer Management,Epic,EPIC-303,P3,Done,developer,4,"EPIC-301,EPIC-302,EPIC-004","provisional-letters partial; full offer-management lifecycle missing"
EPIC-304,Communication,Epic,EPIC-304,P3,Done,developer,4,"EPIC-005,EPIC-007,EPIC-102","sent-mail exists; email-templates management missing"
EPIC-305,Print,Epic,EPIC-305,P3,Done,developer,4,"EPIC-005,EPIC-301,EPIC-102","barcode-labels exists; print-templates management missing"
EPIC-401,Reports,Epic,EPIC-401,P4,Done,developer,5,all epics,"reports-dashboard + reports-candidates + reports-sessions implemented"
STORY-001-01,Roles Management Page,Story,EPIC-001,P0,Done,developer,1,EPIC-001,"List/create/edit roles with permission checkboxes. Page: roles-mgmt"
STORY-001-02,User Memberships Page,Story,EPIC-001,P0,Done,developer,1,EPIC-001,"Assign roles to users. Page: user-memberships"
STORY-004-01,Admission Cycles Page,Story,EPIC-004,P0,Done,developer,1,EPIC-004,"CRUD for admission cycles with programme + year association. Page: admission-cycles"
STORY-007-01,Condition Builder UI,Story,EPIC-007,P0,Done,developer,1,EPIC-007,"Visual AND/OR rule builder with JsonLogic preview. Page: condition-builder"
STORY-007-02,Condition Tester,Story,EPIC-007,P0,Done,developer,1,EPIC-007,"Test built condition against sample candidate JSON"
STORY-102-01,Workflow Instances View,Story,EPIC-102,P1,Done,developer,2,EPIC-102,"Per-cycle list of candidates and their current workflow node. Page: workflow-instances"
STORY-103-01,Builder Sample Data Testing,Story,EPIC-103,P1,Done,developer,2,EPIC-103,"Panel in workflow-builder to upload sample CSV and test nodes"
STORY-201-01,Document Type Config,Story,EPIC-201,P2,Done,developer,3,EPIC-201,"Configure required/optional doc types per cycle. Page: document-collection"
STORY-201-02,Document Submission Log,Story,EPIC-201,P2,Done,developer,3,EPIC-201,"View all submissions with status and rejection reasons"
STORY-208-01,Reopen Request UI,Story,EPIC-208,P2,Done,developer,3,EPIC-208,"Authorised reopen of completed step with mandatory reason. Page: reopen-corrections"
STORY-208-02,Correction Entry,Story,EPIC-208,P2,Done,developer,3,EPIC-208,"Enter corrected value stored as new revision"
STORY-209-01,Formula Builder UI,Story,EPIC-209,P2,Done,developer,3,EPIC-209,"Build ordered score formulas over candidate columns. Page: formula-builder"
STORY-302-01,Sanctioned Intake Management,Story,EPIC-302,P3,Done,developer,4,EPIC-302,"Set/view sanctioned seats per partition. Page: seat-allocation"
STORY-302-02,Seat Conversion UI,Story,EPIC-302,P3,Done,developer,4,EPIC-302,"Convert unfilled seats between partitions with preview and audit"
STORY-303-01,Offer Management Page,Story,EPIC-303,P3,Done,developer,4,EPIC-303,"Full offer lifecycle from generation to release/revocation. Page: offer-management"
STORY-304-01,Email Templates Management,Story,EPIC-304,P3,Done,developer,4,EPIC-304,"Create/edit templates with merge fields and preview. Page: email-templates"
STORY-304-02,Communication Send UI,Story,EPIC-304,P3,Done,developer,4,EPIC-304,"Send to selected candidates with recipient count confirmation"
STORY-305-01,Print Templates Management,Story,EPIC-305,P3,Done,developer,4,EPIC-305,"Create templates for admit cards offer letters score sheets. Page: print-templates"
STORY-305-02,Bulk Document Generation,Story,EPIC-305,P3,Done,developer,4,EPIC-305,"Generate documents for filtered candidate set"
TASK-001-01,DEV: Build roles-mgmt + user-memberships pages,Task,EPIC-001,P0,Done,developer,1,STORY-001-01,"Write docs/features/EPIC-001-feature.html"
TASK-001-02,QA: Verify roles management,Task,EPIC-001,P0,Done,qa-engineer,1,TASK-001-01,"Test role CRUD and permission assignment"
TASK-001-03,REVIEW: Code review EPIC-001,Task,EPIC-001,P0,Done,code-reviewer,1,TASK-001-01,"Review roles + memberships implementation"
TASK-004-01,DEV: Build admission-cycles page,Task,EPIC-004,P0,Done,developer,1,STORY-004-01,"Write docs/features/EPIC-004-feature.html"
TASK-004-02,QA: Verify admission cycles,Task,EPIC-004,P0,Done,qa-engineer,1,TASK-004-01,"Test cycle CRUD with programme/year linking"
TASK-007-01,DEV: Build condition-builder page,Task,EPIC-007,P0,Done,developer,1,STORY-007-01,"Write docs/features/EPIC-007-feature.html"
TASK-007-02,QA: Verify condition builder,Task,EPIC-007,P0,Done,qa-engineer,1,TASK-007-01,"Test AND/OR rule building and JsonLogic output"
TASK-007-03,REVIEW: Code review EPIC-007,Task,EPIC-007,P0,Done,code-reviewer,1,TASK-007-01,"Review condition builder implementation"
TASK-102-01,DEV: Build workflow-instances page,Task,EPIC-102,P1,Done,developer,2,STORY-102-01,"Write docs/features/EPIC-102-feature.html"
TASK-102-02,QA: Verify workflow instances,Task,EPIC-102,P1,Done,qa-engineer,2,TASK-102-01,"Test candidate state tracking in workflow"
TASK-103-01,DEV: Build builder sample-data test panel,Task,EPIC-103,P1,Done,developer,2,STORY-103-01,"Extend workflow-builder in docs/features/EPIC-103-feature.html"
TASK-201-01,DEV: Build document-collection page,Task,EPIC-201,P2,Done,developer,3,STORY-201-01,"Write docs/features/EPIC-201-feature.html"
TASK-201-02,QA: Verify document collection,Task,EPIC-201,P2,Done,qa-engineer,3,TASK-201-01,"Test doc type config and submission log"
TASK-208-01,DEV: Build reopen-corrections page,Task,EPIC-208,P2,Done,developer,3,STORY-208-01,"Write docs/features/EPIC-208-feature.html"
TASK-208-02,QA: Verify reopen correction,Task,EPIC-208,P2,Done,qa-engineer,3,TASK-208-01,"Test reopen flow with reason capture and revision history"
TASK-209-01,DEV: Build formula-builder page,Task,EPIC-209,P2,Done,developer,3,STORY-209-01,"Write docs/features/EPIC-209-feature.html"
TASK-209-02,QA: Verify formula builder,Task,EPIC-209,P2,Done,qa-engineer,3,TASK-209-01,"TC-4 PASS after sc-for fix. Score Inputs list now populates"
TASK-302-01,DEV: Build seat-allocation page,Task,EPIC-302,P3,Done,developer,4,STORY-302-01,"Write docs/features/EPIC-302-feature.html"
TASK-302-02,QA: Verify seat allocation,Task,EPIC-302,P3,Done,qa-engineer,4,TASK-302-01,"Test sanctioned seats and conversion with audit"
TASK-303-01,DEV: Build offer-management page,Task,EPIC-303,P3,Done,developer,4,STORY-303-01,"Write docs/features/EPIC-303-feature.html"
TASK-303-02,QA: Verify offer management,Task,EPIC-303,P3,Done,qa-engineer,4,TASK-303-01,"Test offer generation and lifecycle states"
TASK-304-01,DEV: Build email-templates page,Task,EPIC-304,P3,Done,developer,4,STORY-304-01,"Write docs/features/EPIC-304-feature.html"
TASK-304-02,QA: Verify email templates,Task,EPIC-304,P3,Done,qa-engineer,4,TASK-304-01,"Test template CRUD and send simulation"
TASK-305-01,DEV: Build print-templates page,Task,EPIC-305,P3,Done,developer,4,STORY-305-01,"Write docs/features/EPIC-305-feature.html"
TASK-305-02,QA: Verify print templates,Task,EPIC-305,P3,Done,qa-engineer,4,TASK-305-01,"TC-10 PASS after Mustache to sc-for conversion. All 3 templates render"
TASK-MERGE-A,Merge Batch A features into index.html,Task,INFRA,P0,Done,developer,1,"TASK-001-01,TASK-004-01,TASK-007-01,TASK-102-01,TASK-208-01,TASK-302-01","Inject 6 feature files into index.html nav+HTML+JS"
TASK-MERGE-B,Merge Batch B features into index.html,Task,INFRA,P1,Done,developer,2,"TASK-103-01,TASK-201-01,TASK-209-01,TASK-303-01,TASK-304-01,TASK-305-01","Inject 6 feature files into index.html nav+HTML+JS"
TASK-E2E-01,E2E smoke test full POC after merge,Task,INFRA,P0,Done,qa-engineer,1,TASK-MERGE-B,"Run playwright on all new pages to confirm no 404/blank pages"
BUG-209-01,Formula Builder sc-for wrong syntax renders empty,Bug,EPIC-209,P2,Done,dev-bugfix,3,TASK-209-02,"FIXED + QA-verified. 5 sc-for loops value=/item= to list=/as=. TC-4 passes."
BUG-305-01,Print Templates only 1 of 3 seeded rows render,Bug,EPIC-305,P3,Done,dev-bugfix,4,TASK-305-02,"FIXED + QA-verified. R1 seed guard + R2 converted 4 Mustache loops to sc-for. TC-10 + all 10 batch-b tests pass."
TASK-209-03,QA: Re-verify formula builder after fix,Task,EPIC-209,P2,Done,qa-engineer,3,BUG-209-01,"TC-4 re-run PASS"
TASK-305-03,QA: Re-verify print templates after fix,Task,EPIC-305,P3,Done,qa-engineer,4,BUG-305-01,"Re-run PASS: all 10 qa-batch-b tests green in 30.2s"
TASK-FUNC-QA,Interaction QA all 13 new pages (drive every button/form),Task,INFRA,P0,Done,qa-engineer,6,,"Replaced load-only QA. 47 interaction tests across all new pages — creating/editing/deleting/saving/tabs/preview. All green."
BUG-CYCLES-01,Admission Cycles + Reopen dropdowns/tables empty,Bug,EPIC-004,P0,Done,team-lead,6,TASK-FUNC-QA,"8 sc-for items= loops (3rd bad-loop variant) blocked render. Fixed to list=/as=. Create-cycle verified working."
BUG-OFFER-02,Offer status badge rendered as escaped HTML text,Bug,EPIC-303,P3,Done,team-lead,6,TASK-FUNC-QA,"offerStatusBadge/statusBadge were HTML strings via {{ }} -> escaped. Converted both tables to sc-if boolean badges. Generate flips badge — verified."
TASK-FUNC-REVERIFY,Full functional suite green,Task,INFRA,P0,Done,qa-engineer,6,"BUG-CYCLES-01,BUG-OFFER-02","47/47 interaction tests pass across all 13 new pages. App is user-driveable."
STORY-001-03,Institute Staff Roles & Page-Level Access Control,Story,EPIC-001,P0,Done,dev-bugfix,7,EPIC-001,"DONE: ds.roles (8 default roles: Director/Registrar/Admission Officer/Coordinator/Panelist/Observer/Document Verification Team/SIU), instituteNavGroups() shared by sidebar + role checkbox catalogue. Roles & Permissions + User Memberships hard-restricted to Institute Admin (allowedPagesForAuth never grants roles-mgmt/user-memberships). func-rbac.spec.js verifies."
STORY-001-04,Institute Staff Login & Credentials,Story,EPIC-001,P0,Done,dev-bugfix,7,STORY-001-03,"DONE: saveStaffMember issues real credentials on create (mirrors panelist flow), staff log in via the same Institute tab (auth.role: institute-staff), sidebar filtered live by allowedPagesForAuth. Verified end-to-end in func-rbac.spec.js."
BUG-RBAC-01,Roles & Permissions enforce nothing,Bug,EPIC-001,P0,Done,dev-bugfix,7,STORY-001-03,"FIXED via STORY-001-03/04 — navSpec()/allowedPagesForAuth now gate both sidebar links and direct page navigation (render-time redirect to dashboard for disallowed pages)."
BUG-FORMULA-01,Formula Builder disconnected from real merit scoring,Bug,EPIC-209,P1,Done,dev-bugfix,7,,"FIXED: real inputs (PI/APV/SLAT) + real active-programme candidates in Preview; Commit calls setScoringFormula(ds,...), which recomputeOutcome now reads for finalScore.final (default stays PI+APV until committed). Decided (already merit-processed) candidates are deliberately left untouched. Verified in js/admission-engine.test.mjs + func-formula.spec.js."
BUG-OFFER-03,Offer status desyncs after revoke/release,Bug,EPIC-303,P1,Done,dev-bugfix,7,,"FIXED: onRelease/onRevoke now sync candidates[].offerStatus (Released, or reset to None on Revoke so the candidate can be re-offered). Verified in func-reverify-fixed.spec.js."
BUG-IMPORT-01,Import Wizard Manual Review duplicate strategy is a dead end,Bug,EPIC-101,P2,Done,dev-bugfix,7,,"FIXED: manualReview rows now folded into buildPreview's exceptions list with a clear reason, visible in the Import Wizard preview instead of vanishing."
BUG-IMPORT-02,Import Wizard boolean field mappings never cast to real booleans,Bug,EPIC-101,P2,Done,dev-bugfix,7,,"FIXED: applyFieldMapping now casts type boolean (true/false, case-insensitive) same as it already did for number."
BUG-SEAT-01,Seat Matrix inline edit bypasses admitted-count floor and audit trail,Bug,EPIC-302,P2,Done,dev-bugfix,7,,"FIXED: Matrix tab's onSave now floors at admitted count (same as Convert's onConvConfirm) and writes a Conversion History audit entry for every direct edit. Verified in func-reverify-fixed.spec.js."
BUG-FORMULA-02,Formula Builder allows weights not summing to 1 with no validation,Bug,EPIC-209,P3,Done,dev-bugfix,7,BUG-FORMULA-01,"FIXED (rescoped after BUG-FORMULA-01): PI/APV/SLAT are different scales already, so 'must sum to 1' no longer applies — instead barPct is now scaled relative to the top score in the preview and clamped to [0,100], so it can never overflow the bar regardless of weights."
BUG-PRINT-01,Print Generate Documents has no double-submit guard,Bug,EPIC-305,P3,Done,dev-bugfix,7,,"FIXED: onGenerate now no-ops while printGenerating is true, and the button is disabled in the DOM for the same condition. Verified in func-print.spec.js."
BUG-MERIT-01,Moving candidate's PI allocation after merit processing orphans merit record,Bug,EPIC-301,P2,Done,dev-bugfix,7,,"FIXED: moveCandidatesAllocation and markAttendance's absent-branch both now guard the outcome/finalScore reset with `&& !c.meritCategory`, matching recomputeOutcome's existing rule. Verified in js/admission-engine.test.mjs."
BUG-APPROVAL-01,Approval-chain length edit mid-flight can desync approval-request tracking,Bug,EPIC-105,P4,Done,dev-bugfix,7,,"FIXED: createApprovalRequest now freezes chainLength at creation (same pattern as shortlist/merit batch approvals arrays); verifyMailOtp's isLast reads req.chainLength instead of the live chain. normalizeDataset backfills chainLength for old saved files. Verified in js/admission-engine.test.mjs."
TASK-TEST-01,QA: Update stale e2e assertions for already-fixed bugs,Task,INFRA,P3,Done,dev-bugfix,7,,"DONE: qa-batch-a-wf TC-4 test.fail()/#reopen-new-form selector replaced with a real passing assertion; wf-explore's disconnected-subgraph probe comments updated to reflect the already-fixed BFS validator. Also updated func-roles.spec.js/func-memberships.spec.js for the new ds-backed role/staff model (STORY-001-03/04). Full suite: 80/80 passing locally."
TASK-SPRINT7-REVERIFY,Full functional suite green after Sprint 7 fixes,Task,INFRA,P0,Done,dev-bugfix,7,"STORY-001-03,STORY-001-04,BUG-RBAC-01,BUG-FORMULA-01,BUG-OFFER-03,BUG-IMPORT-01,BUG-IMPORT-02,BUG-SEAT-01,BUG-FORMULA-02,BUG-PRINT-01,BUG-MERIT-01,BUG-APPROVAL-01,TASK-TEST-01","Every ticket from the Sprint 6 functional audit is Done. Added js/admission-engine.test.mjs (5 unit tests covering the formula/merit-orphan/approval-chain fixes) + func-rbac.spec.js (2 e2e tests for the new RBAC). 83/83 e2e tests + both node --test unit suites (import-engine, admission-engine) passing locally against the uncommitted build."
STORY-CYCLES-01,Admission Cycles as a real hard-prerequisite scoping dimension,Story,EPIC-004,P0,In Progress,dev-bugfix,8,,"(programmeId, academicYearId, cycleId) is now the composite identity for candidates — a candidate can legitimately exist in more than one cycle of the same programme+year (re-applying in a later round). Real ds.admissionCycles collection (was decorative localStorage) + header Cycle selector (always visible, 3rd dropdown) + CYCLE_GATED_PAGES hard-blocks Import/Candidate List/Profile until a cycle exists for the active programme+year. cycleId threaded through commitImportJob's candidate stamping + existing-candidate dedup. Per explicit decision: existing data is NOT auto-migrated — old files show the gate until a fresh cycle is created; scope also covers Sessions/Groups/Zoom Rooms/Panelist Allocation per product decision but that threading is NOT done yet (tracked separately). Bugs found and fixed along the way: a lucide.js icon conditionally toggled by React crashed the reconciler (removeChild on a node lucide had already replaced with raw DOM — see the Selected/Select badge markup, no more data-lucide icons there); createAdmissionCycle's Date.now()-based id collided when two cycles were created in the same millisecond, switched to a sequential counter; Activate/Close button visibility used inverted-inequality checks instead of exact status match. Verified: 84/84 e2e (func-admission-cycles.spec.js rewritten for the real model, admission-workflow.spec.js gains a cycle-creation step) + admission-engine.test.mjs (2 new unit tests)."
NEXT-CYCLES-02,Thread cycleId through Sessions/Shortlist/Verification/Merit/Offers,Story,EPIC-004,P1,Planned,dev-bugfix,8,STORY-CYCLES-01,"Continuation of STORY-CYCLES-01 — Sessions/Groups/Zoom Rooms/Panelist Allocation, Shortlist, Verification, PI Attendance/Scoring, Merit Processing/Approval/Releases, and Offer/Approval-request records all still filter by programmeId+academicYearId only, not cycleId, so they currently show data across every cycle mixed together. CYCLE_GATED_PAGES also needs extending to these pages once each is wired."
